topic,stems,docs,label,notes
26,"amend, vote, right, act, law, protect, constitut, voter, court, one","896mccain, 1498hoeven, 1005markey, 1028manchin, 834mccain, 946cruz, 157billnelson, 391fischer, 189risch, 864gillibrand",Legislative,"Incl. votes, bill and constitutional amendments, lots of symbolic statements and bills"
27,"court, judg, law, district, nomin, suprem, case, attorney, deci, legal","1483grassley, 1086rubio, 820gillibrand, 614carper, 1927vitter, 613warner, 1421heitkamp, 1486menendez, 429boozman, 3159brown",Judicial 1,"Incl. nominations, responses to decisions, and cabinet noms"
28,"immigr, border, secur, law, system, illeg, legal, countri, worker, enforc","3438brown, 608sanders, 440donnelly, 657vitter, 758reid, 1663heitkamp, 526ronjohnson, 1460heitkamp, 524sanders, 699blunt",Immigration,"Incl. children, DACA, reform"
29,"farm, program, agricultur, farmer, crop, help, food, produc, support, includ","893durbin, 1543king, 655manchin, 568casey, 2669brown, 292inhofe, 799cardin, 1086bennet, 968rubio, 342boxer",Agriculture,"Incl. research, FDA, school food"
30,"nomin, confirm, vote, court, judg, circuit, judici, time, district, rule","582blunt, 805murray, 1499grassley, 1112durbin, 1191gillibrand, 341roberts, 821ayotte, 418fischer, 920mikulski, 672stabenow",Judicial 2,Incl. nominations and nuclear option
31,"assist, famili, fund, home, program, heat, help, incom, winter, low","773reid, 737reid, 774klobuchar, 968cruz, 629manchin, 1067mccaskill, 637cochran, 583bennet, 447barrasso, 1146ayotte",LIHEAP,"Incl. low income home energy assistance program, other energy like LNG and oil"
32,"manufactur, innov, industri, develop, technolog, help, support, compani, busi, invest","950leahy, 421casey, 272sessions, 686tomudall, 742casey, 486barrasso, 922murray, 805leahy, 864menendez, 981portman",Jobs 2,"Incl. creation, attracting tech jobs, improve economic opportunity"
33,"care, health, provid, medicar, child, hospit, program, famili, act, patient","1322tester, 411wicker, 863murphy, 445barrasso, 783gillibrand, 597stabenow, 1176heitkamp, 625cornyn, 1164warner, 576thune",Health Care 2,"Incl. children, Medicare, rural care"
34,"syria, ukrain, militari, russia, support, russian, forc, weapon, action, secur","733mcconnell, 336roberts, 1148rubio, 429enzi, 1077ayotte, 1402durbin, 476blunt, 387enzi, 1059cruz, 295flake",Foreign Affairs,"Incl. sanctions, New START, Boko Haram"
35,"fda, tobacco, food, market, health, children, compani, drug, report, propo","372scott, 1423vitter, 790klobuchar, 898markey, 3382brown, 1102gillibrand, 1184heitkamp, 863franken, 512stabenow, 1028reid",FDA,"Incl. tobacco marketing regs, Avastin drug"
