iteration time doc.count score word.count unseen.score unseen.word.count
1 8 2052 -74609782490.35333 8199736256 -74609782490.35333 8199736256
2 15 4104 -37429408125.94097 6991192457 -37429408125.94097 6991192457
3 22 6156 -44542812185.58263 8312760458 -44542812185.58263 8312760458
4 31 8208 -38583936508.31901 7249659755 -38583936508.31901 7249659755
5 39 10260 -35295707438.37194 6644674334 -35295707438.37194 6644674334
6 48 12312 -43577457643.07770 8115602881 -43577457643.07770 8115602881
7 55 14364 -43154538488.52084 8088420988 -43154538488.52084 8088420988
8 63 16416 -44479076893.80544 8384665654 -44479076893.80544 8384665654
9 73 18468 -50076193889.23368 9150953899 -50076193889.23368 9150953899
10 80 20520 -46105259058.88966 8755715941 -46105259058.88966 8755715941
11 88 22572 -39639149444.09937 7537369274 -39639149444.09937 7537369274
12 95 24624 -40775384224.91706 7685337074 -40775384224.91706 7685337074
13 102 26676 -42823130967.53555 8022840357 -42823130967.53555 8022840357
14 110 28728 -36842084790.36237 6858611576 -36842084790.36237 6858611576
15 117 30780 -42326634519.04909 7876527710 -42326634519.04909 7876527710
16 126 32832 -43118087249.42242 8178143689 -43118087249.42242 8178143689
17 134 34884 -43833899356.55209 8368533664 -43833899356.55209 8368533664
18 142 36936 -49133242165.51373 9298375281 -49133242165.51373 9298375281
19 150 38988 -39405681343.65176 7393237491 -39405681343.65176 7393237491
20 160 41040 -45756046519.44723 8611441742 -45756046519.44723 8611441742
21 169 43092 -54023934108.63230 10133582226 -54023934108.63230 10133582226
22 173 43830 -12661025786.21235 2416961347 -12661025786.21235 2416961347
